,fac_nm,road_addr,jibun_addr,lat,lon,phone_num,capacity,manage_agency,manage_agency_pn,base_date
0,The꿈지역아동센터,경기도 수원시 영통구 매여울로57번길 33,경기도 수원시 영통구 매탄동 153-105,37.27333583,127.0425319,070-4130-0818,29,수원시 보육아동과,031-228-2358,2020-09-28
1,경기지역아동센터,경기도 수원시 장안구 송정로167번길 34,경기도 수원시 장안구 조원동 765-18,37.29933124,127.0137765,031-247-7179,45,수원시 보육아동과,031-228-2358,2020-09-28
2,공부잘하는독서학교 지역아동센터,경기도 수원시 권선구 탑동로36번길 5-18,경기도 수원시 권선구 탑동 790-18,37.27305054,126.9747101,031-278-7730,29,수원시 보육아동과,031-228-2358,2020-09-28
3,광교지역아동센터,경기도 수원시 장안구 창훈로80번길 34-3,경기도 수원시 장안구 연무동 11-38,37.29919144,127.0286237,070-8279-3355,47,수원시 보육아동과,031-228-2358,2020-09-28
4,구운지역아동센터,경기도 수원시 권선구 구운로 49,경기도 수원시 권선구 구운동 947-7,37.27805401,126.9730317,031-291-2242,34,수원시 보육아동과,031-228-2358,2020-09-28
5,그레이스지역아동센터,경기도 수원시 팔달구 고화로81번길 10,경기도 수원시 팔달구 고등동 10-13,37.276788,127.0059169,031-234-1692,23,수원시 보육아동과,031-228-2358,2020-09-28
6,길벗지역아동센터,경기도 수원시 장안구 경수대로1081번길 36,경기도 수원시 장안구 파장동 573-27,37.30801845,126.9929429,031-271-9392,29,수원시 보육아동과,031-228-2358,2020-09-28
7,길샘지역아동센터,경기도 수원시 장안구 경수대로 1099,경기도 수원시 장안구 파장동 575,37.31000726,126.9922331,070-4084-0198,19,수원시 보육아동과,031-228-2358,2020-09-28
8,꽃뫼지역아동센터,경기도 수원시 장안구 대평로51번길 56,경기도 수원시 장안구 정자동 882-5,37.29224942,126.9917689,031-246-0035,29,수원시 보육아동과,031-228-2358,2020-09-28
9,꿈의지역아동센터,경기도 수원시 팔달구 팔달로127번길 26,경기도 수원시 팔달구 화서동 71-31,37.28032298,127.002859,031-251-9112,29,수원시 보육아동과,031-228-2358,2020-09-28
10,노을빛지역아동센터,경기도 수원시 팔달구 팔달문로41번길 24,경기도 수원시 팔달구 지동 288-6,37.27920179,127.0219935,070-7770-2066,19,수원시 보육아동과,031-228-2358,2020-09-28
11,다온지역아동센터,경기도 수원시 권선구 정조로482번길 33,경기도 수원시 권선구 세류동 983-11,37.25198811,127.0133008,031-225-1288,19,수원시 보육아동과,031-228-2358,2020-09-28
12,드림지역아동센터,경기도 수원시 장안구 금당로99번길 24-16,경기도 수원시 장안구 조원동 456-33,37.30193902,127.0215746,031-252-9944,29,수원시 보육아동과,031-228-2358,2020-09-28
13,망포새힘지역아동센터,경기도 수원시 영통구 태장로 77,경기도 수원시 영통구 망포동 381-2,37.23935028,127.0547984,031-206-0092,29,수원시 보육아동과,031-228-2358,2020-09-28
14,매산지역아동센터,경기도 수원시 팔달구 효원로60번길 6-15,경기도 수원시 팔달구 매산로3가 81-19,37.26829175,127.0084711,031-224-2282,19,수원시 보육아동과,031-228-2358,2020-09-28
15,매여울배움터지역아동센터,경기도 수원시 영통구 매탄로65번길 22,경기도 수원시 영통구 매탄동 1163-8,37.25725581,127.0402908,070-4244-7026,49,수원시 보육아동과,031-228-2358,2020-09-28
16,매탄지역아동센터,경기도 수원시 영통구 매영로45번길 5,경기도 수원시 영통구 매탄동 199-74,37.26941217,127.0477009,031-211-9185,29,수원시 보육아동과,031-228-2358,2020-09-28
17,무지개행복한홈스쿨 지역아동센터,경기도 수원시 권선구 경수대로 219,경기도 수원시 권선구 세류동 1151-10,37.2469604,127.0172336,031-8031-9545,48,수원시 보육아동과,031-228-2358,2020-09-28
18,밝은별지역아동센터,경기도 수원시 권선구 서둔로7번길 10,경기도 수원시 권선구 고색동 890-266,37.25250097,126.9837091,031-278-6558,19,수원시 보육아동과,031-228-2358,2020-09-28
19,보물섬지역아동센터,경기도 수원시 권선구 서둔로7번길 38-2,경기도 수원시 권선구 고색동 890-91,37.25207384,126.9822089,031-294-0136,19,수원시 보육아동과,031-228-2358,2020-09-28
20,비젼업청소년학교 지역아동센터,경기도 수원시 권선구 정조로 570,경기도 수원시 권선구 세류동 498-2,37.25976604,127.012974,031-236-7479,49,수원시 보육아동과,031-228-2358,2020-09-28
