,fac_nm,sido_nm,sgg_nm,fac_type,closed_days,week_start_time,week_end_time,sat_start_time,sat_end_time,holiday_start_time,holiday_end_time,seat,book_cnt,serial_cnt,non_book_cnt,rental_cnt,rental_days,road_addr,manage_agency,phone_num,land_area,bldg_area,homepage_addr,lat,lon,base_date
0,선경도서관,경기도,팔달구,공공도서관,"매주 월요일, 국가지정 공휴일",7:00,23:00,7:00,23:00,7:00,18:00,820,458927,298,45405,7,14,경기도 수원시 팔달구 신풍로23번길 68(신풍동),수원시청,031-228-4728,11830,8312,https://www.suwonlib.go.kr/sk/,37.283861,127.010433,2020-12-01
1,중앙도서관,경기도,팔달구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,23:00,0:00,0:00,351,261839,215,11446,7,14,경기도 수원시 팔달구 팔달산로 318(교동),수원시청,031-228-4788,3438,2712,https://www.suwonlib.go.kr/ct,37.273582,127.012132,2020-12-01
2,창룡도서관,경기도,팔달구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,490,81926,121,97,7,14,경기도 수원시 팔달구 월드컵로381번길 36(우만동),수원시청,031-228-4881,5123,4337,https://www.suwonlib.go.kr/cy,37.290742,127.027549,2020-12-01
3,화서다산도서관,경기도,팔달구,공공도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,354,69138,148,0,7,14,경기도 수원시 팔달구 화양로68번길 7-35(화서동),수원시청,031-228-3545,5467,3611,https://www.suwonlib.go.kr/hd,37.285646,126.997429,2020-12-01
4,호매실도서관,경기도,권선구,공공도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,447,109008,172,0,7,14,경기도 수원시 권선구 칠보로 169(호매실동),수원시청,031-228-4658,8637,4930,https://www.suwonlib.go.kr/hms,37.26641239,126.957993,2020-12-01
5,서수원도서관,경기도,권선구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,23:00,0:00,0:00,570,217517,206,7561,7,14,경기도 수원시 권선구 탑동로57번길 35(탑동),수원시청,031-228-4747,2634,4587,https://www.suwonlib.go.kr/seo,37.273118,126.972071,2020-12-01
6,한림도서관,경기도,권선구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,333,70738,151,0,7,14,경기도 수원시 권선구 동수원로25번길 32-52(권선동),수원시청,031-228-4855,7155,2417,https://www.suwonlib.go.kr/hl,37.23760102,127.0250249,2020-12-01
7,버드내도서관,경기도,권선구,공공도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,369,76459,155,0,7,14,경기도 수원시 권선구 세권로94번길 29,수원시청,031-228-4866,5653,4000,https://www.suwonlib.go.kr/bdn,37.25682311,127.0147766,2020-12-01
8,북수원도서관,경기도,장안구,공공도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,23:00,0:00,0:00,665,219037,224,6767,7,14,경기도 수원시 장안구 만석로 65(정자동),수원시청,031-228-4779,4530,4480,https://www.suwonlib.go.kr/buk,37.297665,126.988306,2020-12-01
9,대추골도서관,경기도,장안구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,404,98303,175,0,7,14,경기도 수원시 장안구 수일로 164(조원동),수원시청,031-228-4543,3460,2692,https://www.suwonlib.go.kr/dcg,37.306611,127.008094,2020-12-01
