,fc_nm,fc_type,sido_nm,sgg_nm,sgg_cd,road_addr,jibun_addr,lat,lon,phone_num,week_start_time,week_end_time,sat_start_time,sat_end_time,holiday_start_time,holiday_end_time,delivery_start_time,delivery_end_time,manage_agency,manage_agency_pn,base_date
0,미남꼬마김밥연구소,1,경기도,수원시,41115,경기도 수원시 장안구 송정로60번길 17,경기도 수원시 장안구 정자동 36-8,37.29530495,127.0043333,031-304-6230,10:30,22:00,10:30,19:00,0:00,0:00,10:30,22:00,경기도 수원시,031-228-2358,2021-03-11
1,파스타입니다 화서점,1,경기도,수원시,41115,경기도 수원시 장안구 장안로54번길 21-4,경기도 수원시 장안구 영화동 391-30,37.29011007,127.0052791,070-8848-3987,11:00,23:00,10:00,23:00,10:00,23:00,11:00,23:00,경기도 수원시,031-228-2358,2021-03-11
2,예스푸드 조원점,1,경기도,수원시,41115,경기도 수원시 장안구 송정로 195,경기도 수원시 장안구 조원동 740-1,37.29940103,127.017467,031-251-9366,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
3,인정국물떡볶이장안구,1,경기도,수원시,41115,경기도 수원시 장안구 파장로 4,경기도 수원시 장안구 송죽동 444-15,37.303781,126.9998272,031-252-2072,12:00,0:00,12:00,0:00,12:00,0:00,12:00,0:00,경기도 수원시,031-228-2358,2021-03-11
4,비에이치씨조원주공한일점,1,경기도,수원시,41115,경기도 수원시 장안구 금당로 42,경기도 수원시 장안구 조원동 731-4,37.3028762,127.01578,031-245-7636,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,경기도 수원시,031-228-2358,2021-03-11
5,GS25 수원영화점,1,경기도,수원시,41115,경기도 수원시 장안구 장안로18번길 1,경기도 수원시 장안구 영화동 425-16,37.28687312,127.0064715,031-244-5881,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
6,아재갈비찜,1,경기도,수원시,41115,경기도 수원시 장안구 파장천로44번길 87,경기도 수원시 장안구 파장동 622,37.30787161,127.0004617,031-8067-6400,11:00,0:30,11:00,0:30,11:00,0:30,11:00,0:30,경기도 수원시,031-228-2358,2021-03-11
7,혼밥대왕,1,경기도,수원시,41115,경기도 수원시 장안구 파장로21번길 28,경기도 수원시 장안구 파장동 495-48,37.30342812,126.997235,031-546-3903,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-2358,2021-03-11
8,고기굽는혀누네,1,경기도,수원시,41115,경기도 수원시 장안구 장안로 342,경기도 수원시 장안구 이목동 865,37.31160031,126.9872528,031-268-9203,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,경기도 수원시,031-228-2358,2021-03-11
9,롯데리아수원정자점,1,경기도,수원시,41115,경기도 수원시 장안구 정자천로173번길 17,경기도 수원시 장안구 정자동 876-2,37.29615213,126.9941524,031-269-0069,9:00,1:00,9:00,1:00,9:00,1:00,10:00,0:00,경기도 수원시,031-228-2358,2021-03-11
