,address,purpose,cctv_cnt,set_yr,lat,lon
0,경상남도 진주시 집현면 지내리 125,어린이보호,1,`2013-12,35.241319,128.093399
1,경상남도 진주시 집현면 지내리 125,어린이보호,4,`2013-12,35.242023,128.09199
2,경상남도 진주시 집현면 지내리 125,어린이보호,4,`2013-12,35.241209,128.092923
3,경상남도 진주시 진성면 상촌리 541-2,어린이보호,1,`2013-12,35.16931,128.22478
4,경상남도 진주시 진성면 상촌리 541-2,어린이보호,4,`2013-12,35.169223,128.225446
5,경상남도 진주시 진성면 상촌리 541-2,어린이보호,4,`2013-12,35.1704,128.224999
6,경상남도 진주시 지수면 압사리 1065-1,어린이보호,1,`2014-12,35.230433,128.251015
7,경상남도 진주시 지수면 압사리 1065-1,어린이보호,1,`2014-12,35.233527,128.251251
8,경상남도 진주시 지수면 압사리 1065-1,어린이보호,4,`2014-12,35.232645,128.252013
9,경상남도 진주시 봉래동 27-6,어린이보호,3,`2012-12,35.199562,128.088595
10,경상남도 진주시 봉래동 27-5,어린이보호,2,`2012-12,35.199181,128.088078
11,경상남도 진주시 봉래동 27-4,어린이보호,2,`2012-12,35.198764,128.087132
12,경상남도 진주시 봉래동 27-3,어린이보호,5,`2012-12,35.199284,128.087046
13,경상남도 진주시 봉래동 27-2,어린이보호,2,`2012-12,35.200475,128.086353
14,경상남도 진주시 정촌면 예하리 1294,어린이보호,3,`2019-12,35.125067,128.099444
15,경상남도 진주시 정촌면 예하리 1294,어린이보호,2,`2019-12,35.124938,128.098454
16,경상남도 진주시 정촌면 관봉리 1150,어린이보호,1,`2013-12,35.136182,128.144561
17,경상남도 진주시 정촌면 관봉리 1150,어린이보호,3,`2013-12,35.136233,128.143816
18,경상남도 진주시 정촌면 관봉리 1150,어린이보호,1,`2013-12,35.136469,128.14287
19,경상남도 진주시 일반성면 개암리 805-3,어린이보호,2,`2013-12,35.170122,128.286068
20,경상남도 진주시 일반성면 개암리 805-3,어린이보호,1,`2013-12,35.168907,128.285996
21,경상남도 진주시 일반성면 개암리 805-3,어린이보호,4,`2013-12,35.169732,128.286647
22,경상남도 진주시 이현동 14-7,어린이보호,2,`2018-12,35.193194,128.061917
23,경상남도 진주시 이현동 945-1,어린이보호,2,`2018-12,35.20229,128.047334
24,경상남도 진주시 이현동 25-1,어린이보호,2,`2012-12,35.191839,128.062628
25,경상남도 진주시 이현동 25-1,어린이보호,3,`2012-12,35.190334,128.062904
26,경상남도 진주시 이현동 365-2,어린이보호,2,`2014-12,35.187615,128.056608
27,경상남도 진주시 이현동 365-2,어린이보호,1,`2014-12,35.18978,128.056139
28,경상남도 진주시 이현동 365-2,어린이보호,4,`2014-12,35.188976,128.056566
29,경상남도 진주시 이반성면 하곡리 977,어린이보호,2,`2014-12,35.171876,128.327509
30,경상남도 진주시 이반성면 하곡리 977,어린이보호,1,`2014-12,35.173887,128.328306
31,경상남도 진주시 이반성면 하곡리 977,어린이보호,5,`2014-12,35.172719,128.328001
32,경상남도 진주시 신안동 710-1,어린이보호,1,`2020-06,35.177681,128.067655
33,경상남도 진주시 신안동 710-1,어린이보호,1,`2020-06,35.176075,128.066446
34,경상남도 진주시 신안동 710-1,어린이보호,1,`2020-06,35.176002,128.06687
35,경상남도 진주시 신안동 710-1,어린이보호,3,`2020-06,35.176617,128.068263
36,경상남도 진주시 신안동 710-1,어린이보호,4,`2020-06,35.175748,128.067683
37,경상남도 진주시 신안동 475,어린이보호,3,`2012-12,35.183031,128.068186
38,경상남도 진주시 신안동 475,어린이보호,2,`2012-12,35.181712,128.068058
39,경상남도 진주시 신안동 475,어린이보호,3,`2012-12,35.181828,128.068562
40,경상남도 진주시 하대동 119-1,어린이보호,1,`2020-06,35.187914,128.124999
41,경상남도 진주시 하대동 119-1,어린이보호,1,`2020-06,35.187914,128.124999
42,경상남도 진주시 하대동 119-1,어린이보호,2,`2020-06,35.187859,128.123725
43,경상남도 진주시 하대동 119-1,어린이보호,3,`2020-06,35.187319,128.12341
44,경상남도 진주시 하대동 119-1,어린이보호,1,`2020-06,35.186531,128.123639
45,경상남도 진주시 하대동 119-1,어린이보호,2,`2020-06,35.186767,128.123857
46,경상남도 진주시 초전동 405-1,어린이보호,1,`2012-12,35.19409,128.125643
47,경상남도 진주시 초전동 405-1,어린이보호,1,`2012-12,35.194163,128.125739
48,경상남도 진주시 초전동 405-1,어린이보호,1,`2012-12,35.193328,128.123689
49,경상남도 진주시 초전동 405-1,어린이보호,1,`2012-12,35.19366,128.123157
50,경상남도 진주시 초전동 405-1,어린이보호,5,`2012-12,35.19366,128.123157
51,경상남도 진주시 초전동 405-1,어린이보호,5,`2012-12,35.195967,128.123049
52,경상남도 진주시 하대동 136-18,어린이보호,1,`2014-12,35.186042,128.119985
53,경상남도 진주시 하대동 136-18,어린이보호,5,`2014-12,35.186543,128.119447
54,경상남도 진주시 하대동 136-18,어린이보호,5,`2014-12,35.185627,128.119713
55,경상남도 진주시 하대동 343-3,어린이보호,2,`2012-12,35.188563,128.117148
56,경상남도 진주시 하대동 343-3,어린이보호,2,`2012-12,35.188867,128.117597
57,경상남도 진주시 하대동 343-3,어린이보호,2,`2012-12,35.190063,128.118631
58,경상남도 진주시 하대동 343-3,어린이보호,4,`2012-12,35.190149,128.11833
59,경상남도 진주시 하대동 343-3,어린이보호,1,`2012-12,35.190265,128.117065
60,경상남도 진주시 하대동 343-3,어린이보호,3,`2012-12,35.189346,128.117075
61,경상남도 진주시 하대동 601,어린이보호,5,`2014-12,35.195433,128.112583
62,경상남도 진주시 평거동 748-4,어린이보호,1,`2020-06,35.174005,128.064792
63,경상남도 진주시 평거동 748-4,어린이보호,1,`2020-06,35.173864,128.064668
64,경상남도 진주시 평거동 748-4,어린이보호,1,`2020-06,35.175112,128.065767
65,경상남도 진주시 평거동 748-4,어린이보호,3,`2020-06,35.174472,128.065479
66,경상남도 진주시 평거동 748-4,어린이보호,1,`2020-06,35.174209,128.065563
67,경상남도 진주시 평거동 748-4,어린이보호,2,`2020-06,35.174017,128.066357
68,경상남도 진주시 평거동 748-4,어린이보호,3,`2020-06,35.174308,128.067104
69,경상남도 진주시 평거동 800,어린이보호,2,`2014-12,35.169364,128.055935
70,경상남도 진주시 평거동 800,어린이보호,1,`2014-12,35.169667,128.056489
71,경상남도 진주시 평거동 800,어린이보호,4,`2014-12,35.16882,128.05839
72,경상남도 진주시 평거동 800,어린이보호,1,`2014-12,35.168451,128.058217
73,경상남도 진주시 평거동 800,어린이보호,1,`2014-12,35.168641,128.057996
74,경상남도 진주시 평거동 800,어린이보호,3,`2014-12,35.168128,128.057451
75,경상남도 진주시 평거동 717-1,어린이보호,2,`2014-12,35.168469,128.052004
76,경상남도 진주시 평거동 717-1,어린이보호,1,`2014-12,35.170204,128.050547
77,경상남도 진주시 평거동 717-1,어린이보호,5,`2014-12,35.169248,128.051294
78,경상남도 진주시 평거동 1125,어린이보호,4,`2016-12,35.164977,128.047619
79,경상남도 진주시 평거동 1125,어린이보호,4,`2016-12,35.165966,128.049086
80,경상남도 진주시 평거동 1125,어린이보호,3,`2016-12,35.16582,128.047817
81,경상남도 진주시 판문동 290,어린이보호,2,`2012-12,35.16836,128.044501
82,경상남도 진주시 판문동 290,어린이보호,3,`2012-12,35.169461,128.044251
83,경상남도 진주시 판문동 290,어린이보호,2,`2012-12,35.167531,128.045402
84,경상남도 진주시 판문동 290,어린이보호,3,`2012-12,35.168582,128.045322
85,경상남도 진주시 평거동 1065-148,어린이보호,1,`2014-12,35.164593,128.039694
86,경상남도 진주시 평거동 1065-148,어린이보호,1,`2014-12,35.165933,128.039823
87,경상남도 진주시 평거동 1065-148,어린이보호,4,`2014-12,35.165265,128.03974
88,경상남도 진주시 충무공동 342,어린이보호,2,`2019-12,35.172487,128.148808
89,경상남도 진주시 충무공동 131-1,어린이보호,2,`2018-12,35.170752,128.135558
90,경상남도 진주시 충무공동 87-2,어린이보호,2,`2018-12,35.168224,128.130561
91,경상남도 진주시 충무공동 190-1,어린이보호,2,`2018-12,35.183526,128.149089
92,경상남도 진주시 충무공동 190-1,어린이보호,2,`2018-12,35.183031,128.149567
93,경상남도 진주시 충무공동 125,어린이보호,3,`2016-12,35.171907,128.137844
94,경상남도 진주시 충무공동 125,어린이보호,3,`2016-12,35.171907,128.137844
95,경상남도 진주시 초전동 1691,어린이보호,3,`2018-12,35.214313,128.110745
96,경상남도 진주시 초전동 1691,어린이보호,2,`2018-12,35.214352,128.10952
