,gid,cnt_light,total_cnt_securitylight,old_area_ratio,sangga_area_ratio,cnt_cctv,cnt_112,traffic,클러스터
0,다사49aa19ab,0,0,0.0,0.0,0,0.0,0.0,1
1,다사49aa19ba,0,0,0.0,0.0,0,0.0,0.0,1
2,다사49aa20aa,0,0,0.0,0.0,0,0.0,0.0,1
3,다사49ab18ab,0,0,0.0,0.0,0,0.0,0.0,1
4,다사49ab18ba,0,0,0.0,0.0,0,0.0,0.0,1
5,다사49ab18bb,0,0,0.0,0.0,0,0.0,0.0,1
6,다사49ab19aa,0,0,0.0,0.0,0,0.0,0.0,1
7,다사49ab19ab,0,0,0.0,0.0,4,0.0,0.0,1
8,다사49ab19ba,0,0,0.0,0.0,0,0.0,0.0,1
9,다사49ab19bb,0,0,0.0,0.0,0,0.0,0.0,1
10,다사49ab20aa,0,0,0.0,0.0,0,1.0,0.0,1
11,다사49ab20ab,0,0,0.0,0.0,0,0.0,0.0,1
12,다사49ab20ba,0,0,0.0,0.0,0,0.0,0.0,1
13,다사49ab20bb,0,0,0.0,0.0,0,0.0,0.0,1
14,다사49ba17bb,0,0,0.0,0.0,0,0.0,0.0,1
15,다사49ba18aa,0,0,0.0,0.0,0,0.0,0.0,1
16,다사49ba18ab,0,0,0.0,0.0,0,0.0,0.0,1
17,다사49ba18ba,0,0,0.0,0.0,0,0.0,0.0,1
18,다사49ba18bb,0,0,0.0,0.0,0,0.0,0.0,1
19,다사49ba19aa,0,0,0.0,0.0,0,0.0,0.0,1
20,다사49ba19ab,0,0,0.0,0.0,3,0.0,0.0,1
21,다사49ba19ba,5,0,0.0,0.0,0,11.0,9.0,1
22,다사49ba19bb,5,0,0.0,0.0,2,12.0,1.0,1
23,다사49ba20aa,0,0,0.0,0.0,0,0.0,0.0,1
24,다사49ba20ab,0,0,0.0,0.0,0,0.0,0.0,1
25,다사49ba20ba,0,0,0.0,0.0,0,0.0,0.0,1
26,다사49ba20bb,0,0,0.0,0.0,0,0.0,0.0,1
27,다사49ba21aa,0,0,0.0,0.0,0,0.0,0.0,1
28,다사49ba21ab,2,1,0.0,0.0,0,3.0,0.0,1
29,다사49ba21ba,3,0,0.0,0.0,0,0.0,0.0,1
30,다사49ba22ba,0,0,0.0,0.0,0,0.0,0.0,1
31,다사49ba22bb,0,0,0.0,0.0,0,0.0,0.0,1
32,다사49bb17ba,0,0,0.0,0.0,0,0.0,0.0,1
33,다사49bb17bb,0,0,0.0,0.0,0,0.0,0.0,1
34,다사49bb18aa,0,0,0.0,0.0,0,0.0,0.0,1
35,다사49bb18ab,0,0,0.0,0.0,0,0.0,0.0,1
36,다사49bb18ba,0,0,0.0,0.0,0,0.0,0.0,1
37,다사49bb18bb,6,1,0.0,0.0,0,1.0,0.0,1
38,다사49bb19aa,0,4,0.0,0.00528,4,12.0,1.0,1
39,다사49bb19ab,9,11,0.0,0.0,4,25.0,10.0,1
40,다사49bb19ba,23,0,0.0,0.00512,5,115.0,50.0,5
41,다사49bb19bb,11,0,0.0,0.005232,5,33.0,28.0,9
42,다사49bb20aa,0,0,0.0,0.0,0,0.0,2.0,1
43,다사49bb20ab,0,0,0.0,0.0,0,6.0,0.0,1
44,다사49bb20ba,0,7,0.0,0.0,0,4.0,0.0,1
45,다사49bb20bb,0,7,0.0,0.0,4,1.0,0.0,1
46,다사49bb21aa,0,0,0.0,0.0,0,0.0,0.0,1
47,다사49bb21ab,0,0,0.0,0.0,4,0.0,0.0,1
48,다사49bb21ba,10,0,0.0,0.0,0,3.0,5.0,1
49,다사49bb22ab,0,0,0.0,0.0,0,0.0,0.0,1
50,다사49bb22ba,0,0,0.0,0.0,0,1.0,0.0,1
51,다사49bb22bb,0,0,0.0,0.0,0,0.0,0.0,1
52,다사50aa17ba,0,0,0.0,0.0,0,0.0,0.0,1
53,다사50aa17bb,0,0,0.0,0.0,0,0.0,0.0,1
54,다사50aa18aa,0,1,0.0,0.0,0,7.0,0.0,1
55,다사50aa18ab,0,0,0.0,0.0,0,0.0,0.0,1
56,다사50aa18ba,0,0,0.0,0.0,0,0.0,5.0,1
57,다사50aa18bb,11,4,0.0,0.04432,0,13.0,42.0,9
58,다사50aa19aa,25,8,0.0,0.084144,5,95.0,44.0,9
59,다사50aa19ab,18,0,0.0,0.0,0,97.0,40.0,9
60,다사50aa19ba,19,0,0.0,0.0,8,64.0,38.0,9
61,다사50aa19bb,12,0,0.0,0.0,4,33.0,28.0,9
62,다사50aa20aa,0,0,0.0,0.0,0,1.0,0.0,1
63,다사50aa20ab,0,5,0.0,0.0,0,0.0,0.0,1
64,다사50aa20ba,0,13,0.0,0.013504,5,7.0,0.0,1
65,다사50aa20bb,0,16,0.0,0.0,4,3.0,0.0,1
66,다사50aa21aa,0,7,0.0,0.0,0,2.0,0.0,1
67,다사50aa21ab,0,4,0.0,0.0,0,17.0,25.0,1
68,다사50aa21ba,22,1,0.0,0.025488,10,101.0,61.0,5
69,다사50aa21bb,3,4,0.0,0.0,0,1.0,7.0,1
70,다사50aa22aa,0,0,0.0,0.0,0,0.0,0.0,1
71,다사50aa22ab,0,0,0.0,0.0,0,0.0,0.0,1
72,다사50aa22ba,0,4,0.0,0.0,0,6.0,0.0,1
73,다사50aa22bb,0,0,0.0,0.0,0,0.0,0.0,1
74,다사50ab17ba,0,0,0.0,0.0,0,0.0,0.0,1
75,다사50ab17bb,0,0,0.0,0.0,0,0.0,0.0,1
76,다사50ab18aa,0,4,0.0,0.0,3,3.0,0.0,1
77,다사50ab18ab,8,12,0.02177984,0.062536,2,6.0,2.0,1
78,다사50ab18ba,0,8,0.00952832,0.0,0,1.0,1.0,1
79,다사50ab18bb,16,3,0.0,0.0,5,29.0,60.0,5
80,다사50ab19aa,1,0,0.0,0.0,1,49.0,31.0,1
81,다사50ab19ab,14,0,0.0,0.0475776,5,198.0,39.0,9
82,다사50ab19ba,29,0,0.0,0.0420976,4,198.0,58.0,5
83,다사50ab19bb,12,0,0.0,0.0,1,55.0,9.0,1
84,다사50ab20aa,7,0,0.0,0.005248,0,4.0,0.0,1
85,다사50ab20ab,10,1,0.0,0.0,0,4.0,0.0,1
86,다사50ab20ba,10,5,0.0,0.0,3,11.0,5.0,1
87,다사50ab20bb,9,6,0.0,0.0,1,10.0,2.0,1
88,다사50ab21aa,0,0,0.0,0.0,0,0.0,0.0,1
89,다사50ab21ab,31,11,0.0,0.11952,11,179.0,57.0,5
90,다사50ab21ba,43,2,0.220864,0.233712,4,164.0,106.0,5
91,다사50ab21bb,11,9,0.0,0.00528,6,46.0,28.0,9
92,다사50ab22aa,0,4,0.152832,0.0,0,8.0,27.0,1
93,다사50ab22ab,0,1,0.0,0.0,0,0.0,1.0,1
94,다사50ab22ba,0,0,0.0,0.0,0,0.0,0.0,1
95,다사50ba17ba,0,0,0.0,0.0,0,0.0,0.0,1
96,다사50ba17bb,0,0,0.0,0.0,0,0.0,0.0,1
97,다사50ba18aa,0,0,0.0,0.0,0,0.0,0.0,1
98,다사50ba18ab,10,16,0.008864,0.11592,9,9.0,11.0,9
99,다사50ba18ba,0,7,0.0,0.0,0,1.0,0.0,1
100,다사50ba18bb,37,0,0.0,0.0,2,63.0,8.0,9
101,다사50ba19aa,41,0,0.0,0.0,2,95.0,11.0,2
102,다사50ba19ab,35,0,0.0,0.1002016,14,190.0,10.0,2
103,다사50ba19ba,33,0,0.0,0.1384944,6,273.0,39.0,5
104,다사50ba19bb,35,0,0.0,0.0,11,49.0,8.0,9
105,다사50ba20aa,17,0,0.0,0.0,0,6.0,0.0,9
106,다사50ba20ab,0,0,0.0,0.0,0,0.0,0.0,1
107,다사50ba20ba,0,0,0.0,0.0,0,2.0,0.0,1
108,다사50ba20bb,6,0,0.0,0.0,0,14.0,0.0,1
109,다사50ba21aa,10,0,0.0,0.0,1,9.0,3.0,1
110,다사50ba21ab,25,16,0.008352,0.08965888,5,140.0,92.0,5
111,다사50ba21ba,20,8,0.006336,0.053632,12,395.0,46.0,4
112,다사50ba21bb,19,6,0.01601856,0.0,5,35.0,25.0,9
113,다사50ba22aa,0,4,0.0,0.0,0,2.0,17.0,1
114,다사50ba22ab,0,5,0.0,0.0,0,0.0,5.0,1
115,다사50ba22ba,0,1,0.0,0.0,0,1.0,0.0,1
116,다사50bb17ba,0,0,0.0,0.0,0,0.0,0.0,1
117,다사50bb17bb,0,0,0.0,0.0,0,1.0,0.0,1
118,다사50bb18aa,0,0,0.0,0.0,0,1.0,0.0,1
119,다사50bb18ab,6,1,0.0,0.00528,0,7.0,0.0,1
120,다사50bb18ba,3,0,0.0,0.013392,3,1.0,0.0,1
121,다사50bb18bb,15,0,0.0,0.0,1,2.0,0.0,1
122,다사50bb19aa,27,0,0.0,0.0,1,60.0,4.0,9
123,다사50bb19ab,18,0,0.0,0.0,1,113.0,34.0,9
124,다사50bb19ba,26,0,0.0,0.0,11,144.0,41.0,9
125,다사50bb19bb,29,1,0.0,0.0,6,14.0,9.0,9
126,다사50bb20aa,7,0,0.0,0.0,0,0.0,0.0,1
127,다사50bb20ab,0,0,0.0,0.0,0,0.0,0.0,1
128,다사50bb20ba,0,0,0.0,0.0,0,0.0,0.0,1
